id,category,sub_category,created_at,response_at,department_id,admin_response,admin_eval_on_ai_response,client_satisfaction
1,ACCOUNT,delete_account,2025-04-05 22:06:07.146811,2025-04-09 14:57:09.558895,6,we will delete the account,good,satisfied
2,ACCOUNT,account_registration_problems,2025-04-05 22:06:55.019139,,4,Pending,,
3,CANCEL,check_cancellation_fee,2025-04-05 22:07:55.654249,,8,Pending,,
4,FEEDBACK,feedback_review,2025-04-05 22:29:23.156716,,14,Pending,,
5,INVOICE,check_invoice,2025-02-18 23:30:43.000000,2025-02-20 04:30:43.000000,15,We've canceled your order and issued a full refund.,,
6,ACCOUNT,switch_account,2025-02-24 14:01:14.000000,2025-02-26 12:01:14.000000,3,We've forwarded your complaint to the relevant department.,,
7,REFUND,track_refund,2025-03-20 03:53:21.000000,,23,Pending,,
8,SUBSCRIPTION,newsletter_subscription,2025-02-22 22:29:52.000000,2025-02-23 09:29:52.000000,28,We've canceled your order and issued a full refund.,,
9,SHIPPING,set_up_shipping_address,2025-04-01 19:55:29.000000,2025-04-02 02:55:29.000000,26,Your request has been processed successfully.,,
10,ACCOUNT,account_registration_problems,2025-02-12 03:46:48.000000,2025-02-12 05:46:48.000000,4,We've implemented a fix for this issue. Thank you for your patience.,,
11,CANCEL,check_cancellation_fee,2025-02-09 18:13:58.000000,2025-02-10 16:13:58.000000,8,Your refund has been processed and should appear in 3-5 business days.,,
12,REFUND,check_refund_policy,2025-02-22 00:25:44.000000,2025-02-23 03:25:44.000000,24,The delivery has been rescheduled as per your request.,,
13,FEEDBACK,feedback_complaint,2025-03-23 05:34:32.000000,2025-03-25 14:34:32.000000,13,The delivery has been rescheduled as per your request.,,
14,SHIPPING,change_shipping_address,2025-04-04 02:44:58.000000,2025-04-04 14:44:58.000000,27,Your request has been processed successfully.,,
15,INVOICE,check_invoice,2025-02-25 14:13:26.000000,2025-02-28 13:13:26.000000,15,This matter has been escalated to our senior team for review.,,
16,FEEDBACK,feedback_review,2025-03-03 20:09:51.000000,2025-03-05 23:09:51.000000,14,We've updated your account settings as requested.,,
17,FEEDBACK,feedback_review,2025-02-12 13:40:31.000000,2025-02-13 05:40:31.000000,14,Your refund has been processed and should appear in 3-5 business days.,,
18,FEEDBACK,feedback_review,2025-02-25 00:56:20.000000,2025-02-26 04:56:20.000000,14,We've updated your account settings as requested.,,
19,CANCEL,check_cancellation_fee,2025-02-28 11:22:10.000000,2025-02-28 16:22:10.000000,8,We've forwarded your complaint to the relevant department.,,
20,SHIPPING,change_shipping_address,2025-03-21 13:49:32.000000,2025-03-22 12:49:32.000000,27,We've implemented a fix for this issue. Thank you for your patience.,,
21,PAYMENT,payment_issue,2025-04-01 09:31:53.000000,,22,Pending,,
22,CONTACT,contact_human_agent,2025-03-04 17:17:15.000000,2025-03-07 10:17:15.000000,10,Your subscription has been updated successfully.,,
23,ACCOUNT,switch_account,2025-02-19 07:54:39.000000,2025-02-20 17:54:39.000000,3,We've canceled your order and issued a full refund.,,
24,CANCEL,check_cancellation_fee,2025-02-25 02:36:18.000000,2025-02-27 03:36:18.000000,8,We've canceled your order and issued a full refund.,,
25,ACCOUNT,account_registration_problems,2025-03-04 04:12:38.000000,2025-03-04 07:12:38.000000,4,Your refund has been processed and should appear in 3-5 business days.,,
26,FEEDBACK,feedback_complaint,2025-04-03 15:32:43.000000,,13,Pending,,
27,PAYMENT,check_payment_methods,2025-02-27 21:52:46.000000,,21,Pending,,
28,ACCOUNT,edit_account,2025-03-29 14:27:29.000000,2025-03-31 08:27:29.000000,2,Your request has been processed successfully.,,
29,DELIVERY,delivery_options,2025-03-25 10:31:59.000000,,12,Pending,,
30,PAYMENT,payment_issue,2025-03-20 13:55:27.000000,2025-03-22 00:55:27.000000,22,We've canceled your order and issued a full refund.,,
31,REFUND,check_refund_policy,2025-03-17 18:24:41.000000,2025-03-20 06:24:41.000000,24,Your subscription has been updated successfully.,,
32,SHIPPING,set_up_shipping_address,2025-02-20 08:42:41.000000,2025-02-22 11:42:41.000000,26,This matter has been escalated to our senior team for review.,,
33,REFUND,track_refund,2025-02-12 22:36:34.000000,2025-02-13 15:36:34.000000,23,Your request has been processed successfully.,,
34,INVOICE,check_invoice,2025-03-21 05:00:30.000000,,15,Pending,,
35,DELIVERY,delivery_options,2025-03-19 18:13:39.000000,2025-03-21 15:13:39.000000,12,We've canceled your order and issued a full refund.,,
36,CANCEL,check_cancellation_fee,2025-04-05 07:38:21.000000,2025-04-07 14:38:21.000000,8,Your refund has been processed and should appear in 3-5 business days.,,
37,INVOICE,get_invoice,2025-03-29 04:06:16.000000,,16,Pending,,
38,ORDER,change_order,2025-03-12 02:56:26.000000,2025-03-12 16:56:26.000000,19,We've canceled your order and issued a full refund.,,
39,CONTACT,contact_human_agent,2025-03-08 08:27:04.000000,2025-03-08 19:27:04.000000,10,This matter has been escalated to our senior team for review.,,
40,SHIPPING,change_shipping_address,2025-03-22 10:15:50.000000,2025-03-23 09:15:50.000000,27,We've forwarded your complaint to the relevant department.,,
41,SUBSCRIPTION,newsletter_subscription,2025-03-30 09:43:24.000000,2025-04-01 06:43:24.000000,28,Your subscription has been updated successfully.,,
42,DELIVERY,delivery_period,2025-03-04 10:21:53.000000,2025-03-06 23:21:53.000000,11,We've implemented a fix for this issue. Thank you for your patience.,,
43,CONTACT,contact_customer_service,2025-02-14 12:08:24.000000,2025-02-15 23:08:24.000000,9,We've canceled your order and issued a full refund.,,
44,DELIVERY,delivery_options,2025-03-02 20:18:57.000000,2025-03-05 13:18:57.000000,12,We've canceled your order and issued a full refund.,,
45,SHIPPING,change_shipping_address,2025-03-28 00:01:26.000000,2025-03-28 01:01:26.000000,27,We've canceled your order and issued a full refund.,,
46,CANCEL,check_cancellation_fee,2025-03-30 20:08:51.000000,2025-03-31 21:08:51.000000,8,We've canceled your order and issued a full refund.,,
47,CONTACT,contact_customer_service,2025-04-02 14:18:40.000000,2025-04-05 10:18:40.000000,9,We've implemented a fix for this issue. Thank you for your patience.,,
48,ORDER,cancel_order,2025-03-11 23:31:16.000000,2025-03-14 12:31:16.000000,17,Your request has been processed successfully.,,
49,FEEDBACK,feedback_review,2025-03-19 12:46:35.000000,2025-03-22 12:46:35.000000,14,Your request has been processed successfully.,,
50,FEEDBACK,feedback_complaint,2025-03-24 02:52:26.000000,2025-03-25 20:52:26.000000,13,We've resolved your issue. Please let us know if you need anything else.,,
51,FEEDBACK,feedback_complaint,2025-02-12 06:44:10.000000,2025-02-13 03:44:10.000000,13,The delivery has been rescheduled as per your request.,,
52,CANCEL,check_cancellation_fee,2025-03-23 07:54:34.000000,,8,Pending,,
53,INVOICE,check_invoice,2025-02-21 08:29:38.000000,2025-02-23 18:29:38.000000,15,The delivery has been rescheduled as per your request.,,
54,CANCEL,check_cancellation_fee,2025-03-20 17:38:18.000000,2025-03-21 22:38:18.000000,8,We've forwarded your complaint to the relevant department.,,
55,CONTACT,contact_human_agent,2025-04-04 01:40:14.000000,2025-04-04 20:40:14.000000,10,Your subscription has been updated successfully.,,
56,FEEDBACK,feedback_review,2025-03-17 11:37:04.000000,2025-03-18 20:37:04.000000,14,Your subscription has been updated successfully.,,
57,FEEDBACK,feedback_review,2025-02-23 00:39:29.000000,2025-02-24 15:39:29.000000,14,We've updated your account settings as requested.,,
58,CONTACT,contact_customer_service,2025-02-08 01:51:31.000000,2025-02-08 16:51:31.000000,9,We've canceled your order and issued a full refund.,,
59,CONTACT,contact_customer_service,2025-02-24 09:38:38.000000,2025-02-24 17:38:38.000000,9,Your subscription has been updated successfully.,,
60,SHIPPING,set_up_shipping_address,2025-02-24 03:18:53.000000,,26,Pending,,
61,CONTACT,contact_human_agent,2025-03-20 10:46:32.000000,2025-03-21 05:46:32.000000,10,We've resolved your issue. Please let us know if you need anything else.,,
62,PAYMENT,check_payment_methods,2025-02-21 20:30:14.000000,2025-02-22 06:30:14.000000,21,We've implemented a fix for this issue. Thank you for your patience.,,
63,FEEDBACK,feedback_review,2025-04-05 02:42:40.000000,2025-04-07 02:42:40.000000,14,We've updated your account settings as requested.,,
64,FEEDBACK,feedback_review,2025-02-20 05:46:06.000000,2025-02-20 09:46:06.000000,14,We've canceled your order and issued a full refund.,,
65,SUBSCRIPTION,newsletter_subscription,2025-02-09 00:43:44.000000,,28,Pending,,
66,INVOICE,check_invoice,2025-03-09 13:05:36.000000,2025-03-11 14:05:36.000000,15,The delivery has been rescheduled as per your request.,,
67,ORDER,cancel_order,2025-02-13 18:55:16.000000,,17,Pending,,
68,PAYMENT,payment_issue,2025-02-15 04:12:14.000000,2025-02-17 23:12:14.000000,22,We've updated your account settings as requested.,,
69,PAYMENT,check_payment_methods,2025-02-09 02:47:01.000000,,21,Pending,,
70,CANCEL,check_cancellation_fee,2025-03-19 10:46:14.000000,2025-03-20 03:46:14.000000,8,We've canceled your order and issued a full refund.,,
71,ACCOUNT,edit_account,2025-03-17 21:46:02.000000,2025-03-19 23:46:02.000000,2,We've implemented a fix for this issue. Thank you for your patience.,,
72,CANCEL,check_cancellation_fee,2025-02-21 11:54:47.000000,2025-02-23 10:54:47.000000,8,This matter has been escalated to our senior team for review.,,
73,SUBSCRIPTION,newsletter_subscription,2025-03-06 23:35:45.000000,,28,Pending,,
74,INVOICE,get_invoice,2025-03-16 09:25:07.000000,,16,Pending,,
75,ACCOUNT,edit_account,2025-03-16 09:53:14.000000,,2,Pending,,
76,CONTACT,contact_customer_service,2025-02-14 22:31:26.000000,2025-02-15 06:31:26.000000,9,We've resolved your issue. Please let us know if you need anything else.,,
77,REFUND,track_refund,2025-03-24 21:31:40.000000,2025-03-26 03:31:40.000000,23,We've resolved your issue. Please let us know if you need anything else.,,
78,FEEDBACK,feedback_review,2025-03-22 00:09:46.000000,2025-03-24 16:09:46.000000,14,We've implemented a fix for this issue. Thank you for your patience.,,
79,CANCEL,check_cancellation_fee,2025-02-09 08:32:38.000000,2025-02-10 22:32:38.000000,8,Your request has been processed successfully.,,
80,INVOICE,get_invoice,2025-04-03 04:00:15.000000,2025-04-05 15:00:15.000000,16,This matter has been escalated to our senior team for review.,,
81,ACCOUNT,switch_account,2025-02-24 07:12:11.000000,2025-02-27 05:12:11.000000,3,We've canceled your order and issued a full refund.,,
82,DELIVERY,delivery_options,2025-02-07 09:36:32.000000,2025-02-09 02:36:32.000000,12,We've resolved your issue. Please let us know if you need anything else.,,
83,SUBSCRIPTION,newsletter_subscription,2025-03-01 21:50:16.000000,2025-03-03 11:50:16.000000,28,We've forwarded your complaint to the relevant department.,,
84,INVOICE,check_invoice,2025-03-25 10:25:06.000000,,15,Pending,,
85,CONTACT,contact_human_agent,2025-03-11 17:06:59.000000,2025-03-12 05:06:59.000000,10,We've updated your account settings as requested.,,
86,INVOICE,get_invoice,2025-02-16 17:01:41.000000,2025-02-18 06:01:41.000000,16,Your request has been processed successfully.,,
87,ACCOUNT,edit_account,2025-04-01 02:09:28.000000,2025-04-01 20:09:28.000000,2,Your subscription has been updated successfully.,,
88,REFUND,check_refund_policy,2025-02-13 21:05:48.000000,2025-02-16 21:05:48.000000,24,Your refund has been processed and should appear in 3-5 business days.,,
89,REFUND,track_refund,2025-02-10 11:11:18.000000,2025-02-13 10:11:18.000000,23,We've implemented a fix for this issue. Thank you for your patience.,,
90,REFUND,track_refund,2025-03-02 19:36:32.000000,2025-03-03 06:36:32.000000,23,We've updated your account settings as requested.,,
91,SUBSCRIPTION,newsletter_subscription,2025-03-14 19:55:20.000000,2025-03-15 09:55:20.000000,28,We've updated your account settings as requested.,,
92,ACCOUNT,switch_account,2025-02-27 20:59:04.000000,2025-03-01 22:59:04.000000,3,Your refund has been processed and should appear in 3-5 business days.,,
93,SUBSCRIPTION,newsletter_subscription,2025-02-13 05:05:44.000000,2025-02-15 18:05:44.000000,28,This matter has been escalated to our senior team for review.,,
94,SUBSCRIPTION,newsletter_subscription,2025-04-05 14:10:37.000000,2025-04-07 22:10:37.000000,28,We've updated your account settings as requested.,,
95,CONTACT,contact_customer_service,2025-04-08 00:36:40.000000,2025-04-10 02:36:40.000000,9,The delivery has been rescheduled as per your request.,,
96,SHIPPING,change_shipping_address,2025-04-06 14:35:11.000000,2025-04-08 03:35:11.000000,27,Your request has been processed successfully.,,
97,FEEDBACK,feedback_complaint,2025-03-13 02:14:39.000000,2025-03-13 19:14:39.000000,13,We've resolved your issue. Please let us know if you need anything else.,,
98,FEEDBACK,feedback_complaint,2025-03-06 00:41:45.000000,2025-03-08 18:41:45.000000,13,This matter has been escalated to our senior team for review.,,
99,ORDER,cancel_order,2025-02-15 01:48:44.000000,2025-02-15 17:48:44.000000,17,Your refund has been processed and should appear in 3-5 business days.,,
100,SHIPPING,set_up_shipping_address,2025-03-04 16:39:21.000000,2025-03-06 04:39:21.000000,26,We've canceled your order and issued a full refund.,,
101,ACCOUNT,account_registration_problems,2025-03-26 00:03:09.000000,2025-03-28 01:03:09.000000,4,We've canceled your order and issued a full refund.,,
102,INVOICE,get_invoice,2025-04-04 11:25:01.000000,,16,Pending,,
103,ORDER,cancel_order,2025-03-31 01:56:07.000000,2025-04-02 01:56:07.000000,17,We've updated your account settings as requested.,,
104,ORDER,place_order,2025-02-17 15:06:20.000000,2025-02-19 21:06:20.000000,18,The delivery has been rescheduled as per your request.,,
105,PENDING,pending,2025-04-11 08:24:26.732301,,1,Pending,,satisfied
106,PENDING,pending,2025-04-11 08:33:58.137804,,1,Pending,,unsatisfied
107,PENDING,pending,2025-04-11 08:49:26.277513,,1,Pending,,unsatisfied
108,PENDING,pending,2025-04-11 08:51:36.483833,,1,Pending,,
109,ACCOUNT,create_account,2025-04-11 09:01:13.687417,,5,Pending,,satisfied
110,CONTACT,contact_human_agent,2025-04-11 09:59:12.255348,,10,Pending,,
111,CONTACT,contact_human_agent,2025-04-11 10:38:18.866490,,10,Pending,,
112,CONTACT,contact_human_agent,2025-04-11 10:39:42.904558,,10,Pending,,
113,CONTACT,contact_human_agent,2025-04-11 10:51:35.411159,,10,Pending,,
114,CONTACT,contact_human_agent,2025-04-11 10:54:32.097872,,10,Pending,,
115,CONTACT,contact_human_agent,2025-04-11 10:57:45.776533,,10,Pending,,
116,CONTACT,contact_human_agent,2025-04-11 10:58:20.965594,,10,Pending,,
117,CONTACT,contact_human_agent,2025-04-11 11:00:21.127304,,10,Pending,,
118,CONTACT,contact_human_agent,2025-04-11 11:01:17.035631,,10,Pending,,unsatisfied
119,REFUND,check_refund_policy,2025-04-11 11:46:40.147520,,24,Pending,,
